tag,login
add_api_token,oserp
add_autocompletion,oserp
add_batch_printing_to_full_access,oserp
add_crm_master_rights,oserp
add_master_rights,oserp
all_drafts_edit,oserp
assembly_edit_right,oserp
auth_schema_normalization_1,oserp
bank_transaction_rights,oserp
clients,oserp
clients_webdav,oserp
client_task_server,oserp
convert_columns_to_html_for_sending_html_emails,oserp
custom_data_export_rights,oserp
customer_vendor_record_extra_tab_rights,oserp
delivery_plan_rights,oserp
delivery_process_value,oserp
details_and_report_of_parts,oserp
foreign_key_constraints_on_delete,oserp
mail_journal_rights,oserp
master_rights_position_gaps,oserp
master_rights_positions_fix,oserp
move_shop_part_edit_right,oserp
other_file_sources,oserp
other_file_sources2,oserp
password_hashing,oserp
productivity_rights,oserp
purchase_letter_rights,oserp
record_links_rights,oserp
release_3_0_0,oserp
release_3_2_0,oserp
release_3_3_0,oserp
release_3_4_0,oserp
release_3_5_0,oserp
release_3_5_1,oserp
release_3_5_2,oserp
release_3_5_3,oserp
release_3_5_4,oserp
release_3_5_5,oserp
release_3_5_6,oserp
release_3_5_6_1,oserp
release_3_5_7,oserp
release_3_5_8,oserp
release_3_6_0,oserp
release_3_6_1,oserp
release_3_7_0,oserp
release_3_8_0,oserp
release_3_9_0,oserp
release_3_9_1,oserp
release_3_9_2,oserp
release_4_0_0,oserp
remove_insecurely_hashed_passwords,oserp
remove_menustyle_v4,oserp
remove_menustyle_xml,oserp
rename_general_ledger_rights,oserp
requirement_spec_rights,oserp
right_assortment_edit,oserp
right_custom_data_report,oserp
right_develop,oserp
right_financial_controlling,oserp
right_part_master_data_prices,oserp
right_productivity_as_category,oserp
right_purchase_all_edit,oserp
right_sales_order_item_search,oserp
right_sales_report,oserp
rights_for_reclamation,oserp
rights_for_showing_ar_and_ap_transactions,oserp
rights_for_viewing_project_specific_invoices,oserp
rights_order_reports_amounts,oserp
rights_sales_purchase_edit_prices,oserp
rights_time_recording_show_edit_all,oserp
rights_view_cp_report,oserp
rights_view_cv_report,oserp
rights_view_docs,oserp
right_time_recording,oserp
sales_letter_rights,oserp
session_content_auto_restore,oserp
session_content_primary_key,oserp
set_all_users_to_design40,oserp
split_transaction_rights,oserp
webshop_api_rights,oserp
webshop_api_rights_2,oserp
